urlPathId,title
/nyheder/penge/europa-trak-c20-ned,Europa trak C20 ned
/nyheder/penge/lille-stigning-til-c20,Lille stigning til C20.
/nyheder/penge/c20-negativ-stemning-fortsaetter,C20: Negativ stemning fortsætter
/nyheder/penge/ny-rekord-til-c20-0,Ny rekord til C20
/nyheder/penge/c20-i-ny-rekord-0,C20 i ny rekord
/nyheder/penge/solid-stigning-til-c20,Solid stigning til C20
/nyheder/penge/c20-hoejere-i-rolig-handel,C20 højere i rolig handel
/nyheder/penge/c20-opjusteringer-paa-flere-fronter,C20 opjusteringer på flere fronter
/nyheder/penge/c20-fastholder-sin-opadgaaende-kurve,C20 fastholder sin opadgående kurve
/nyheder/penge/c20-stiger-55-procent-ved-boersaabning,"C20 stiger 5,5 procent ved børsåbning"
/nyheder/penge/tirsdagens-aktier-opjusteringer-loeftede-c20,Tirsdagens aktier: Opjusteringer løftede C20
/nyheder/penge/topdanmark-foerte-i-c20,Topdanmark førte an i C20
/nyheder/penge/rolig-dag-c20,Rolig dag for C20
/nyheder/penge/c20-aabnede-lidt-hoejere,C20 åbnede lidt højere
/nyheder/penge/c20-nye-skuffelser-fra-dsv,C20: Nye skuffelser fra DSV
/nyheder/penge/flot-fremgang-i-c20-indekset,Flot fremgang i C20 indekset
/nyheder/penge/c20-lukkede-i-ny-rekord,C20 lukkede i ny rekord.
/nyheder/penge/c20-startede-aaret-med-optimisme,C20 startede året med optimisme
/nyheder/penge/c20-tabte-pusten-fra-morgenstunden,C20 tabte pusten fra morgenstunden
/nyheder/penge/novo-nordisk-trak-c20-ned,Novo Nordisk trak C20 ned
/nyheder/penge/apm-var-haemsko-c20,APM var hæmsko for C20
/nyheder/penge/c20-aabner-med-lille-tab,C20 åbner med lille tab
/nyheder/penge/c20-aabner-med-mild-stigning,C20 åbner med mild stigning
/nyheder/penge/c20-aabner-med-sur-stemning,C20 åbner med sur stemning
/nyheder/penge/c20-aabnede-i-positivt-terraen,C20 åbnede i positivt terræn
/nyheder/penge/c20-steg-med-bred-opbakning,C20 steg med bred opbakning
/nyheder/penge/c20-aabner-i-positivt-terraen,C20 åbner i positivt terræn
